symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,entry_ref,anchor_err_pct,gross_pnl,exit_reason,hold_days,return_pct
MCD,long,21,2022-03-11,2022-03-16,203.69,212.88,201.21,1.235,192.81,T1_HIT,5,4.51
BAC,long,108,2022-03-07,2022-03-17,35.85,38.08,36.77,-2.489,240.51,T1_HIT,10,6.21
LMT,short,10,2022-03-08,2022-03-17,414.44,381.62,416.56,-0.509,328.13,T2_HIT,9,7.92
JNJ,long,62,2022-02-25,2022-03-22,140.96,154.9,139.32,1.176,864.66,T3_HIT,25,9.89
MCD,long,21,2022-03-11,2022-03-22,203.69,214.84,201.21,1.235,234.11,T2_HIT,11,5.47
BAC,long,108,2022-03-07,2022-03-23,35.85,39.26,36.77,-2.489,367.55,T2_HIT,16,9.49
COP,short,151,2022-03-03,2022-03-28,82.53,89.21,83.25,-0.859,-1007.79,STOP_LOSS,25,-8.09
C,long,309,2022-03-07,2022-03-29,47.1,49.02,48.43,-2.749,595.05,TIME_STOP,22,4.09
MCD,long,43,2022-03-11,2022-03-30,203.69,224.33,201.21,1.235,887.42,T3_HIT,19,10.13
MRK,short,259,2022-03-21,2022-04-07,70.04,75.39,69.55,0.711,-1384.48,STOP_LOSS,17,-7.63
LLY,short,65,2022-03-21,2022-04-08,277.04,296.52,276.92,0.042,-1266.57,STOP_LOSS,18,-7.03
BAC,long,214,2022-03-07,2022-04-18,35.85,33.6,36.77,-2.489,-482.32,STOP_LOSS,42,-6.29
LLY,short,14,2022-04-08,2022-04-20,296.52,285.95,296.94,-0.141,147.99,T1_HIT,12,3.56
LLY,short,14,2022-04-08,2022-04-25,296.52,268.36,296.94,-0.141,394.24,T2_HIT,17,9.5
CAT,short,20,2022-04-19,2022-04-25,213.47,200.58,213.17,0.143,257.88,T1_HIT,6,6.04
CAT,short,20,2022-04-19,2022-04-26,213.47,201.34,213.17,0.143,242.6,T2_HIT,7,5.68
AMAT,long,106,2022-04-07,2022-04-27,114.65,104.33,114.89,-0.213,-1092.99,STOP_LOSS,20,-8.99
XOM,long,62,2022-04-26,2022-04-29,71.14,75.79,70.74,0.569,288.44,T1_HIT,3,6.54
KO,short,74,2022-04-22,2022-05-03,58.31,56.23,58.43,-0.2,154.11,T1_HIT,11,3.57
XOM,long,62,2022-04-26,2022-05-05,71.14,79.15,70.74,0.569,496.37,T2_HIT,9,11.25
CVX,long,33,2022-04-26,2022-05-05,132.85,141.59,131.74,0.846,288.19,T1_HIT,9,6.57
ABBV,long,33,2022-05-02,2022-05-06,125.89,128.49,126.08,-0.154,85.83,T1_HIT,4,2.07
CVX,long,33,2022-04-26,2022-05-09,132.85,140.32,131.74,0.846,246.51,T2_HIT,13,5.62
BA,long,77,2022-04-28,2022-05-10,156.61,136.76,154.46,1.392,-1528.45,STOP_LOSS,12,-12.67
GE,long,315,2022-04-29,2022-05-11,47.26,44.98,47.4,-0.302,-716.53,STOP_LOSS,12,-4.81
AAPL,long,53,2022-01-25,2022-05-12,155.29,139.84,157.87,-1.634,-818.9,STOP_LOSS,107,-9.95
CAT,short,40,2022-04-19,2022-05-13,213.47,191.11,213.17,0.143,894.36,T3_HIT,24,10.47
NKE,long,32,2022-05-13,2022-05-16,102.09,104.61,99.9,2.191,80.59,T1_HIT,3,2.47
XOM,long,123,2022-04-26,2022-05-17,71.14,79.69,70.74,0.569,1051.33,T3_HIT,21,12.01
MSFT,long,15,2022-05-13,2022-05-17,247.95,256.39,246.02,0.784,126.6,T1_HIT,4,3.4
AAPL,long,25,2022-05-13,2022-05-18,141.62,143.84,139.63,1.427,55.34,T1_HIT,5,1.56
NKE,long,32,2022-05-13,2022-05-18,102.09,104.16,99.9,2.191,66.37,T2_HIT,5,2.03
C,long,95,2022-05-13,2022-05-18,40.48,43.87,40.26,0.537,322.01,T1_HIT,5,8.37
C,long,95,2022-05-13,2022-05-19,40.48,42.08,40.26,0.537,151.97,T2_HIT,6,3.95
KO,short,74,2022-04-22,2022-05-20,58.31,53.38,58.43,-0.2,365.04,T2_HIT,28,8.46
C,long,191,2022-05-13,2022-05-24,40.48,45.37,40.26,0.537,934.78,T3_HIT,11,12.09
CVX,long,66,2022-04-26,2022-05-26,132.85,148.85,131.74,0.846,1055.71,T3_HIT,30,12.04
GOOGL,long,33,2022-05-25,2022-05-31,104.06,111.76,105.04,-0.93,253.86,T1_HIT,6,7.39
GOOGL,long,33,2022-05-25,2022-06-01,104.06,113.85,105.04,-0.93,322.83,T2_HIT,7,9.4
MSFT,long,15,2022-05-13,2022-06-02,247.95,255.38,246.02,0.784,111.51,T2_HIT,20,3.0
NKE,long,62,2022-05-13,2022-06-03,102.09,111.58,99.9,2.191,588.28,T3_HIT,21,9.29
MRK,short,55,2022-05-18,2022-06-03,81.38,78.9,81.76,-0.468,136.36,T1_HIT,16,3.05
ABBV,long,98,2022-05-02,2022-06-07,125.89,126.12,126.08,-0.154,22.71,POST_T1_STOP,36,0.18
GOOGL,long,65,2022-05-25,2022-06-07,104.06,114.47,105.04,-0.93,676.18,T3_HIT,13,10.0
MRK,short,55,2022-05-18,2022-06-14,81.38,75.14,81.76,-0.468,343.14,T2_HIT,27,7.67
LMT,short,20,2022-03-08,2022-06-17,414.44,362.89,416.56,-0.509,1030.98,T3_HIT,101,12.44
AAPL,long,75,2022-05-13,2022-06-17,141.62,127.4,139.63,1.427,-1066.65,STOP_LOSS,35,-10.04
WFC,long,112,2022-06-17,2022-06-22,33.96,34.46,33.8,0.464,56.3,T1_HIT,5,1.48
PG,long,39,2022-06-16,2022-06-23,117.23,124.4,118.55,-1.114,279.84,T1_HIT,7,6.12
MCD,long,22,2022-06-21,2022-06-23,215.29,222.1,213.61,0.785,149.98,T1_HIT,2,3.17
GS,long,18,2022-06-14,2022-06-27,257.52,274.48,256.6,0.358,305.35,T1_HIT,13,6.59
PG,long,39,2022-06-16,2022-06-27,117.23,128.94,118.55,-1.114,456.74,T2_HIT,11,9.99
WFC,long,112,2022-06-17,2022-06-27,33.96,36.66,33.8,0.464,302.6,T2_HIT,10,7.96
HD,long,18,2022-06-17,2022-06-28,244.49,256.02,246.71,-0.9,207.54,T1_HIT,11,4.72
GS,long,18,2022-06-14,2022-06-29,257.52,274.76,256.6,0.358,310.4,T2_HIT,15,6.7
MCD,long,22,2022-06-21,2022-07-05,215.29,228.89,213.61,0.785,299.35,T2_HIT,14,6.32
HON,long,110,2022-06-14,2022-07-06,167.61,156.41,166.96,0.391,-1231.88,STOP_LOSS,22,-6.68
LLY,short,30,2022-04-08,2022-07-07,296.52,316.12,296.94,-0.141,-587.83,STOP_LOSS,90,-6.61
HD,long,18,2022-06-17,2022-07-18,244.49,268.17,246.71,-0.9,426.28,T2_HIT,31,9.69
WFC,long,224,2022-06-17,2022-07-19,33.96,37.59,33.8,0.464,814.32,T3_HIT,32,10.71
GS,long,35,2022-06-14,2022-07-20,257.52,287.36,256.6,0.358,1044.5,T3_HIT,36,11.59
HD,long,36,2022-06-17,2022-07-25,244.49,276.79,246.71,-0.9,1162.73,T3_HIT,38,13.21
PG,long,79,2022-06-16,2022-07-29,117.23,127.36,118.55,-1.114,799.96,T3_HIT,43,8.64
MCD,long,42,2022-06-21,2022-07-29,215.29,240.29,213.61,0.785,1049.97,T3_HIT,38,11.61
