symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
BA,long,17,2020-01-23,2020-01-27,306.68,314.34,130.29,T1_HIT,4,2.5
XOM,long,426,2020-01-24,2020-02-04,49.69,45.89,-1619.28,STOP_LOSS,11,-7.65
SBUX,long,71,2020-01-31,2020-02-06,74.19,76.15,139.28,T1_HIT,6,2.64
WMT,long,600,2020-01-16,2020-02-07,35.24,35.43,111.68,TIME_STOP,22,0.53
BA,long,17,2020-01-23,2020-02-07,306.68,338.36,538.59,T2_HIT,15,10.33
BA,long,34,2020-01-23,2020-02-12,306.68,344.37,1281.66,T3_HIT,20,12.29
META,long,26,2020-01-31,2020-02-19,206.62,216.09,246.4,T1_HIT,19,4.59
CAT,long,177,2020-01-31,2020-02-24,118.23,117.09,-201.73,TIME_STOP,24,-0.96
META,long,76,2020-01-31,2020-02-28,206.62,181.11,-1938.46,STOP_LOSS,28,-12.34
SBUX,long,214,2020-01-31,2020-02-28,74.19,66.18,-1714.6,STOP_LOSS,28,-10.8
MRK,long,319,2020-02-06,2020-02-28,66.9,59.63,-2317.1,STOP_LOSS,22,-10.86
AAPL,long,288,2020-02-25,2020-02-28,72.65,62.1,-3037.51,STOP_LOSS,3,-14.52
MU,long,308,2020-02-25,2020-02-28,53.48,47.44,-1859.12,STOP_LOSS,3,-11.29
PFE,long,855,2020-02-21,2020-03-02,24.97,23.67,-1104.27,STOP_LOSS,10,-5.17
MSFT,long,127,2020-02-25,2020-03-02,165.12,156.69,-1070.16,STOP_LOSS,6,-5.1
AAPL,long,60,2020-03-02,2020-03-03,68.14,73.31,309.82,T1_HIT,1,7.58
INTC,long,93,2020-03-02,2020-03-03,49.45,51.44,184.66,T1_HIT,1,4.02
HD,long,25,2020-03-02,2020-03-03,187.6,196.17,214.26,T1_HIT,1,4.57
JPM,long,47,2020-03-02,2020-03-03,98.09,101.74,171.55,T1_HIT,1,3.72
JNJ,long,41,2020-03-02,2020-03-03,113.31,117.7,179.92,T1_HIT,1,3.87
AAPL,long,60,2020-03-02,2020-03-04,68.14,71.56,205.1,T2_HIT,2,5.02
AMZN,long,49,2020-03-02,2020-03-04,95.32,97.33,98.2,T1_HIT,2,2.1
HD,long,25,2020-03-02,2020-03-04,187.6,198.71,277.8,T2_HIT,2,5.92
BAC,long,190,2020-03-02,2020-03-04,24.21,24.12,-16.22,T1_HIT,2,-0.35
JPM,long,142,2020-03-02,2020-03-09,98.09,81.21,-2395.59,STOP_LOSS,7,-17.2
BAC,long,570,2020-03-02,2020-03-09,24.21,19.1,-2909.37,STOP_LOSS,7,-21.09
INTC,long,279,2020-03-02,2020-03-10,49.45,46.77,-749.37,STOP_LOSS,8,-5.43
JPM,long,167,2020-03-09,2020-03-10,81.21,83.26,341.28,STOP_LOSS,1,2.52
CSCO,long,103,2020-03-10,2020-03-11,32.51,32.32,-19.62,T1_HIT,1,-0.59
GOOGL,long,275,2020-03-09,2020-03-12,59.72,55.64,-1122.22,STOP_LOSS,3,-6.83
AAPL,long,122,2020-03-02,2020-03-13,68.14,63.95,-512.15,STOP_LOSS,11,-6.16
AMZN,long,147,2020-03-02,2020-03-13,95.32,87.75,-1113.45,STOP_LOSS,11,-7.95
HD,long,49,2020-03-02,2020-03-13,187.6,172.08,-760.05,STOP_LOSS,11,-8.27
CSCO,long,309,2020-03-10,2020-03-13,32.51,29.14,-1041.64,STOP_LOSS,3,-10.37
ABBV,long,225,2020-03-10,2020-03-13,68.08,64.35,-838.96,STOP_LOSS,3,-5.48
CAT,long,26,2020-03-13,2020-03-16,86.93,78.63,-215.7,T1_HIT,3,-9.54
CVX,long,40,2020-03-13,2020-03-16,60.76,55.13,-225.17,T1_HIT,3,-9.26
JNJ,long,122,2020-03-02,2020-03-17,113.31,108.07,-638.97,STOP_LOSS,15,-4.62
CAT,long,26,2020-03-13,2020-03-17,86.93,84.83,-54.67,T2_HIT,4,-2.42
CVX,long,118,2020-03-13,2020-03-17,60.76,53.48,-858.77,STOP_LOSS,4,-11.98
KO,long,65,2020-03-17,2020-03-18,37.99,37.05,-61.36,T1_HIT,1,-2.48
PG,long,26,2020-03-17,2020-03-18,95.15,96.49,34.85,T1_HIT,1,1.41
KO,long,195,2020-03-17,2020-03-19,37.99,36.73,-245.45,STOP_LOSS,2,-3.31
PG,long,26,2020-03-17,2020-03-19,95.15,99.55,114.54,T2_HIT,2,4.63
MCD,long,62,2020-03-18,2020-03-19,118.95,116.96,-123.36,STOP_LOSS,1,-1.67
BA,long,26,2020-03-18,2020-03-19,99.86,98.8,-27.56,STOP_LOSS,1,-1.06
CAT,long,52,2020-03-13,2020-03-20,86.93,91.11,217.31,T3_HIT,7,4.81
GOOGL,long,41,2020-03-19,2020-03-20,53.93,56.05,86.73,T1_HIT,1,3.92
META,long,13,2020-03-19,2020-03-20,145.34,154.66,121.14,T1_HIT,1,6.41
HD,long,42,2020-03-19,2020-03-20,131.49,139.74,346.86,STOP_LOSS,1,6.28
NKE,long,26,2020-03-19,2020-03-20,61.06,65.13,105.85,T1_HIT,1,6.67
C,long,35,2020-03-19,2020-03-20,28.42,32.42,139.96,T1_HIT,1,14.07
META,long,13,2020-03-19,2020-03-23,145.34,148.36,39.18,T2_HIT,4,2.07
NKE,long,26,2020-03-19,2020-03-23,61.06,59.2,-48.31,T2_HIT,4,-3.04
C,long,35,2020-03-19,2020-03-23,28.42,30.09,58.34,T2_HIT,4,5.86
BA,long,6,2020-03-20,2020-03-23,99.85,98.75,-6.6,T1_HIT,3,-1.1
PG,long,53,2020-03-17,2020-03-24,95.15,86.42,-462.43,STOP_LOSS,7,-9.17
NKE,long,52,2020-03-19,2020-03-24,61.06,59.84,-63.46,STOP_LOSS,5,-2.0
BA,long,6,2020-03-20,2020-03-24,99.85,123.68,142.98,T2_HIT,4,23.87
C,long,69,2020-03-19,2020-03-25,28.42,33.91,378.21,T3_HIT,6,19.28
BA,long,13,2020-03-20,2020-03-25,99.85,154.9,715.65,T3_HIT,5,55.13
SBUX,long,29,2020-03-24,2020-03-25,54.4,58.06,106.32,T1_HIT,1,6.74
SBUX,long,29,2020-03-24,2020-03-26,54.4,57.96,103.3,T2_HIT,2,6.55
SBUX,long,58,2020-03-24,2020-03-27,54.4,57.93,205.09,T3_HIT,3,6.5
META,long,26,2020-03-19,2020-03-31,145.34,164.04,486.09,T3_HIT,12,12.86
BA,long,6,2020-03-31,2020-04-01,155.0,138.91,-96.54,T1_HIT,1,-10.38
BA,long,18,2020-03-31,2020-04-02,155.0,128.51,-476.82,STOP_LOSS,2,-17.09
GOOGL,long,41,2020-03-19,2020-04-07,53.93,60.32,261.7,T2_HIT,19,11.83
GOOGL,long,81,2020-03-19,2020-04-15,53.93,61.78,635.44,T3_HIT,27,14.55
GE,long,72,2020-05-14,2020-05-19,27.2,30.44,233.45,T1_HIT,5,11.92
MCD,long,26,2020-05-18,2020-05-19,155.77,155.82,1.35,T1_HIT,1,0.03
HON,long,27,2020-05-18,2020-05-19,114.1,118.25,112.13,T1_HIT,1,3.64
GE,long,72,2020-05-14,2020-05-20,27.2,30.63,247.39,T2_HIT,6,12.63
HON,long,27,2020-05-18,2020-05-21,114.1,120.24,165.95,T2_HIT,3,5.39
GE,long,146,2020-05-14,2020-05-22,27.2,31.36,607.62,T3_HIT,8,15.3
MCD,long,26,2020-05-18,2020-05-27,155.77,163.28,195.23,T2_HIT,9,4.82
HON,long,55,2020-05-18,2020-05-27,114.1,129.71,858.83,T3_HIT,9,13.69
MCD,long,53,2020-05-18,2020-06-04,155.77,167.49,620.92,T3_HIT,17,7.52
LLY,long,32,2020-06-16,2020-06-17,146.37,153.78,237.01,T1_HIT,1,5.06
LMT,long,14,2020-06-16,2020-06-17,328.67,325.22,-48.33,T1_HIT,1,-1.05
LLY,long,32,2020-06-16,2020-06-18,146.37,149.07,86.3,T2_HIT,2,1.84
LLY,long,66,2020-06-16,2020-06-19,146.37,151.91,365.24,T3_HIT,3,3.78
PFE,long,697,2020-06-02,2020-06-24,25.05,23.06,-1385.87,TIME_STOP,22,-7.94
LMT,long,40,2020-06-16,2020-07-10,328.67,291.07,-1504.27,STOP_LOSS,24,-11.44
WFC,long,120,2020-07-15,2020-07-16,21.84,21.78,-7.34,T1_HIT,1,-0.28
WFC,long,120,2020-07-15,2020-07-22,21.84,22.84,120.64,T2_HIT,7,4.6
CVX,long,60,2020-08-03,2020-08-06,64.73,66.62,113.31,T1_HIT,3,2.92
COP,long,98,2020-07-31,2020-08-11,30.11,32.97,280.34,T1_HIT,11,9.5
COP,long,98,2020-07-31,2020-08-12,30.11,32.81,264.41,T2_HIT,12,8.96
CVX,long,60,2020-08-03,2020-08-12,64.73,69.99,315.43,T2_HIT,9,8.12
COP,long,196,2020-07-31,2020-09-09,30.11,28.32,-350.43,STOP_LOSS,40,-5.94
AMAT,long,287,2020-09-08,2020-09-09,54.36,53.92,-125.74,STOP_LOSS,1,-0.81
CVX,long,122,2020-08-03,2020-09-16,64.73,59.7,-614.03,STOP_LOSS,44,-7.77
AMZN,long,25,2020-09-18,2020-09-23,151.59,156.02,110.86,T1_HIT,5,2.93
XOM,long,564,2020-09-09,2020-09-24,30.2,27.09,-1754.22,STOP_LOSS,15,-10.3
MSFT,long,22,2020-09-21,2020-09-28,187.88,200.92,286.96,T1_HIT,7,6.94
UNH,long,16,2020-09-22,2020-10-01,270.44,283.55,209.8,T1_HIT,9,4.85
GOOGL,long,59,2020-09-22,2020-10-02,71.88,72.34,27.22,T1_HIT,10,0.64
JPM,long,51,2020-09-22,2020-10-06,81.48,86.66,264.24,T1_HIT,14,6.36
UNH,long,16,2020-09-22,2020-10-08,270.44,293.08,362.32,T2_HIT,16,8.37
AMZN,long,25,2020-09-18,2020-10-12,151.59,167.5,397.75,T2_HIT,24,10.5
JPM,long,51,2020-09-22,2020-10-12,81.48,87.55,309.73,T2_HIT,20,7.45
AMZN,long,49,2020-09-18,2020-10-13,151.59,173.4,1068.81,T3_HIT,25,14.39
MSFT,long,22,2020-09-21,2020-10-13,187.88,212.21,535.14,T2_HIT,22,12.95
GOOGL,long,59,2020-09-22,2020-10-13,71.88,78.16,370.45,T2_HIT,21,8.74
MSFT,long,42,2020-09-21,2020-10-14,187.88,212.47,1032.84,T3_HIT,23,13.09
GOOGL,long,119,2020-09-22,2020-10-22,71.88,78.55,794.3,T3_HIT,30,9.29
UNH,long,30,2020-09-22,2020-10-26,270.44,295.7,757.92,T3_HIT,34,9.34
WFC,long,242,2020-07-15,2020-10-28,21.84,18.64,-774.86,STOP_LOSS,105,-14.66
COP,long,553,2020-10-21,2020-10-28,26.47,24.15,-1278.38,STOP_LOSS,7,-8.73
INTC,long,419,2020-10-26,2020-10-29,42.95,39.71,-1357.54,STOP_LOSS,3,-7.54
XOM,long,163,2020-11-02,2020-11-03,26.1,27.16,173.27,T1_HIT,1,4.07
COP,long,122,2020-11-02,2020-11-03,24.2,25.27,130.48,T1_HIT,1,4.42
BAC,long,212,2020-10-29,2020-11-04,20.35,20.81,97.89,T1_HIT,6,2.27
CSCO,long,143,2020-10-30,2020-11-04,30.28,31.49,173.91,T1_HIT,5,4.02
HD,long,19,2020-11-02,2020-11-04,234.54,240.27,109.03,T1_HIT,2,2.45
HD,long,19,2020-11-02,2020-11-06,234.54,248.93,273.49,T2_HIT,4,6.14
COP,long,122,2020-11-02,2020-11-06,24.2,24.79,71.26,T2_HIT,4,2.41
JPM,long,103,2020-09-22,2020-11-10,81.48,101.62,2074.96,T3_HIT,49,24.73
BAC,long,212,2020-10-29,2020-11-10,20.35,23.95,762.85,T2_HIT,12,17.68
CSCO,long,143,2020-10-30,2020-11-10,30.28,32.5,317.42,T2_HIT,11,7.33
MCD,long,23,2020-11-02,2020-11-10,189.1,188.99,-2.62,T1_HIT,8,-0.06
XOM,long,163,2020-11-02,2020-11-10,26.1,29.88,616.58,T2_HIT,8,14.5
COP,long,246,2020-11-02,2020-11-10,24.2,28.26,997.72,T3_HIT,8,16.76
BAC,long,424,2020-10-29,2020-11-11,20.35,24.18,1621.74,T3_HIT,13,18.79
XOM,long,326,2020-11-02,2020-11-11,26.1,29.91,1243.68,T3_HIT,9,14.62
CSCO,long,286,2020-10-30,2020-11-16,30.28,35.5,1493.46,T3_HIT,17,17.25
MCD,long,70,2020-11-02,2020-12-10,189.1,183.72,-376.54,POST_T1_STOP,38,-2.84
INTC,long,115,2020-12-22,2020-12-30,41.81,44.4,297.33,T1_HIT,8,6.18
INTC,long,115,2020-12-22,2021-01-04,41.81,45.1,378.42,T2_HIT,13,7.87
INTC,long,229,2020-12-22,2021-01-07,41.81,46.55,1084.79,T3_HIT,16,11.33
NFLX,long,99,2021-01-13,2021-01-15,49.55,50.0,44.55,T1_HIT,2,0.91
NFLX,long,99,2021-01-13,2021-01-21,49.55,58.24,860.8,T2_HIT,8,17.55
NFLX,long,199,2021-01-13,2021-01-22,49.55,58.21,1723.34,T3_HIT,9,17.48
KO,long,461,2021-01-08,2021-02-01,42.48,40.98,-688.84,TIME_STOP,24,-3.52
NKE,long,40,2021-01-26,2021-02-08,126.31,133.09,271.03,T1_HIT,13,5.36
HON,long,112,2021-01-26,2021-02-17,180.07,177.87,-245.37,TIME_STOP,22,-1.22
NKE,long,119,2021-01-26,2021-03-09,126.31,124.5,-215.44,POST_T1_STOP,42,-1.43
AAPL,long,162,2021-02-24,2021-03-18,121.58,119.57,-324.74,TIME_STOP,22,-1.65
QQQ,long,64,2021-02-24,2021-03-18,308.59,306.78,-115.87,TIME_STOP,22,-0.59
HD,long,37,2020-11-02,2021-03-25,234.54,257.39,845.59,T3_HIT,143,9.74
NKE,long,42,2021-03-26,2021-03-30,120.91,121.6,28.94,T1_HIT,4,0.57
ABBV,long,235,2021-03-18,2021-04-09,84.58,86.52,456.78,TIME_STOP,22,2.3
MS,long,76,2021-03-30,2021-04-13,66.68,67.73,79.24,T1_HIT,14,1.56
NKE,long,127,2021-03-26,2021-04-29,120.91,121.06,19.83,POST_T1_STOP,34,0.13
MS,long,76,2021-03-30,2021-04-30,66.68,70.56,294.54,T2_HIT,31,5.81
LLY,long,29,2021-04-29,2021-05-05,171.96,179.16,209.04,T1_HIT,6,4.19
MS,long,154,2021-03-30,2021-05-07,66.68,72.76,936.37,T3_HIT,38,9.12
LLY,long,29,2021-04-29,2021-05-10,171.96,186.31,416.16,T2_HIT,11,8.35
INTC,long,372,2021-04-26,2021-05-13,53.75,49.45,-1599.38,STOP_LOSS,17,-8.0
NFLX,long,394,2021-04-23,2021-05-17,50.9,48.56,-922.75,TIME_STOP,24,-4.6
AMAT,long,36,2021-05-12,2021-05-21,114.21,124.28,362.46,T1_HIT,9,8.82
LLY,long,59,2021-04-29,2021-05-24,171.96,191.74,1167.08,T3_HIT,25,11.5
AMAT,long,36,2021-05-12,2021-05-25,114.21,130.59,589.86,T2_HIT,13,14.35
BA,long,22,2021-05-05,2021-05-26,232.45,241.7,203.5,T1_HIT,21,3.98
AMAT,long,70,2021-05-12,2021-05-26,114.21,132.28,1264.96,T3_HIT,14,15.82
BA,long,22,2021-05-05,2021-05-28,232.45,247.48,330.66,T2_HIT,23,6.47
AAPL,long,165,2021-05-12,2021-06-03,120.28,121.53,205.87,TIME_STOP,22,1.04
QQQ,long,64,2021-05-12,2021-06-03,310.42,320.42,640.24,TIME_STOP,22,3.22
HD,long,20,2021-06-21,2021-06-23,269.53,275.51,119.56,T1_HIT,2,2.22
NKE,long,44,2021-06-18,2021-06-25,116.62,140.31,1042.23,T1_HIT,7,20.31
NKE,long,44,2021-06-18,2021-06-28,116.62,141.7,1103.4,T2_HIT,10,21.5
NKE,long,87,2021-06-18,2021-06-29,116.62,141.09,2128.86,T3_HIT,11,20.98
CAT,long,105,2021-06-15,2021-07-07,200.69,194.12,-690.0,TIME_STOP,22,-3.27
