symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
BA,long,42,2021-05-05,2021-07-20,232.45,208.1,-1022.7,STOP_LOSS,76,-10.48
HD,long,20,2021-06-21,2021-07-22,269.53,289.56,400.7,T2_HIT,31,7.43
GS,long,17,2021-07-20,2021-07-22,312.08,329.82,301.66,T1_HIT,2,5.69
CVX,long,68,2021-07-20,2021-07-22,78.1,80.96,194.41,T1_HIT,2,3.66
COP,long,111,2021-07-20,2021-07-22,44.76,47.71,326.91,T1_HIT,2,6.58
CAT,long,28,2021-07-20,2021-07-23,186.31,192.24,165.98,T1_HIT,3,3.18
COP,long,111,2021-07-20,2021-07-30,44.76,47.85,343.07,T2_HIT,10,6.9
IWM,long,105,2021-07-09,2021-08-02,210.63,209.05,-166.74,TIME_STOP,24,-0.75
CVX,long,68,2021-07-20,2021-08-02,78.1,83.15,342.85,T2_HIT,13,6.46
GS,long,17,2021-07-20,2021-08-03,312.08,336.87,421.39,T2_HIT,14,7.94
BAC,long,630,2021-07-15,2021-08-06,33.97,34.92,601.99,TIME_STOP,22,2.81
GS,long,33,2021-07-20,2021-08-09,312.08,351.34,1295.7,T3_HIT,20,12.58
CAT,long,28,2021-07-20,2021-08-12,186.31,203.93,493.3,T2_HIT,23,9.46
MU,long,316,2021-08-12,2021-08-13,70.39,68.31,-656.35,STOP_LOSS,1,-2.95
HD,long,38,2021-06-21,2021-09-15,269.53,295.85,1000.05,T3_HIT,86,9.76
COP,long,223,2021-07-20,2021-09-20,44.76,48.47,826.48,T3_HIT,62,8.28
NVDA,long,266,2021-09-21,2021-09-23,21.35,22.07,191.69,T1_HIT,2,3.38
NKE,long,151,2021-09-07,2021-09-27,150.95,137.87,-1975.82,STOP_LOSS,20,-8.67
LMT,long,19,2021-09-20,2021-09-28,298.13,311.03,245.18,T1_HIT,8,4.33
CVX,long,135,2021-07-20,2021-10-06,78.1,86.0,1066.02,T3_HIT,78,10.11
JNJ,long,156,2021-09-20,2021-10-12,142.88,139.83,-474.46,TIME_STOP,22,-2.13
PFE,long,658,2021-09-20,2021-10-12,33.89,32.92,-632.05,TIME_STOP,22,-2.83
LMT,long,19,2021-09-20,2021-10-20,298.13,327.25,553.23,T2_HIT,30,9.77
META,long,17,2021-10-13,2021-10-20,324.12,340.46,277.72,T1_HIT,7,5.04
NVDA,long,266,2021-09-21,2021-10-25,21.35,22.9,412.54,T2_HIT,34,7.27
QCOM,long,192,2021-10-04,2021-10-26,116.27,119.86,689.16,TIME_STOP,22,3.09
NVDA,long,532,2021-09-21,2021-10-27,21.35,24.39,1621.01,T3_HIT,36,14.27
SBUX,long,61,2021-11-01,2021-11-03,95.79,99.46,223.43,T1_HIT,2,3.82
SBUX,long,61,2021-11-01,2021-11-08,95.79,104.09,506.25,T2_HIT,7,8.66
META,long,17,2021-10-13,2021-11-16,324.12,340.84,284.12,T2_HIT,34,5.16
WFC,long,134,2021-11-22,2021-11-23,45.26,45.33,9.58,T1_HIT,1,0.16
JPM,long,41,2021-11-22,2021-11-24,145.73,149.55,156.51,T1_HIT,2,2.62
CSCO,long,125,2021-11-19,2021-11-30,46.88,48.66,222.13,T1_HIT,11,3.79
CSCO,long,125,2021-11-19,2021-12-08,46.88,50.84,495.7,T2_HIT,19,8.46
CSCO,long,250,2021-11-19,2021-12-17,46.88,52.76,1470.68,T3_HIT,28,12.55
WFC,long,404,2021-11-22,2021-12-23,45.26,43.26,-805.29,POST_T1_STOP,31,-4.4
JPM,long,123,2021-11-22,2021-12-27,145.73,139.91,-716.29,POST_T1_STOP,35,-4.0
MSFT,long,19,2021-12-20,2021-12-28,308.3,330.55,422.79,T1_HIT,8,7.22
NFLX,long,409,2022-01-05,2022-01-07,59.2,54.95,-1739.89,STOP_LOSS,2,-7.19
CAT,long,57,2021-07-20,2022-01-14,186.31,207.34,1198.83,T3_HIT,178,11.29
NFLX,long,427,2022-01-07,2022-01-19,54.95,51.5,-1471.44,STOP_LOSS,12,-6.27
GS,long,68,2022-01-18,2022-01-19,322.2,320.68,-103.45,STOP_LOSS,1,-0.47
LMT,long,37,2021-09-20,2022-01-20,298.13,334.6,1349.26,T3_HIT,122,12.23
SBUX,long,121,2021-11-01,2022-01-20,95.79,87.47,-1007.41,STOP_LOSS,80,-8.69
MSFT,long,56,2021-12-20,2022-01-24,308.3,281.47,-1502.35,STOP_LOSS,35,-8.7
QQQ,long,63,2022-01-07,2022-01-24,373.59,336.5,-2336.25,STOP_LOSS,17,-9.93
META,long,34,2021-10-13,2022-01-25,324.12,297.34,-910.68,STOP_LOSS,104,-8.26
NFLX,long,296,2022-01-24,2022-01-25,38.39,37.91,-141.19,STOP_LOSS,1,-1.24
BAC,long,140,2022-01-25,2022-01-27,39.58,41.44,260.21,T1_HIT,2,4.7
AAPL,long,35,2022-01-25,2022-01-31,155.42,166.35,382.55,T1_HIT,6,7.03
NVDA,long,486,2022-01-25,2022-01-31,22.48,23.11,308.12,STOP_LOSS,6,2.82
AAPL,long,35,2022-01-25,2022-02-01,155.42,170.12,514.29,T2_HIT,7,9.45
NFLX,long,70,2022-01-25,2022-02-01,37.91,43.3,376.74,T1_HIT,7,14.2
