symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,return_pct,gross_pnl,hold_days
MSFT,long,122,2020-02-25,2020-03-02,165.12,156.69,-5.1,-1028.02,6
JPM,long,141,2020-03-02,2020-03-09,98.09,81.21,-17.2,-2378.72,7
BAC,long,568,2020-03-02,2020-03-09,24.21,19.1,-21.09,-2899.16,7
INTC,long,278,2020-03-02,2020-03-10,49.45,46.77,-5.43,-746.68,8
JPM,long,166,2020-03-09,2020-03-10,81.21,83.26,2.52,339.24,1
GOOGL,long,274,2020-03-09,2020-03-12,59.72,55.64,-6.83,-1118.14,3
AAPL,long,121,2020-03-02,2020-03-13,68.14,63.95,-6.16,-507.96,11
AMZN,long,146,2020-03-02,2020-03-13,95.32,87.75,-7.95,-1105.88,11
HD,long,49,2020-03-02,2020-03-13,187.6,172.08,-8.27,-760.05,11
CSCO,long,308,2020-03-10,2020-03-13,32.51,29.14,-10.37,-1038.27,3
ABBV,long,224,2020-03-10,2020-03-13,68.08,64.35,-5.48,-835.24,3
JNJ,long,122,2020-03-02,2020-03-17,113.31,108.07,-4.62,-638.97,15
CVX,long,118,2020-03-13,2020-03-17,60.76,53.48,-11.98,-858.78,4
KO,long,194,2020-03-17,2020-03-19,37.99,36.73,-3.31,-244.19,2
MCD,long,62,2020-03-18,2020-03-19,118.95,116.96,-1.67,-123.36,1
BA,long,26,2020-03-18,2020-03-19,99.86,98.8,-1.06,-27.56,1
HD,long,42,2020-03-19,2020-03-20,131.49,139.74,6.28,346.86,1
PG,long,53,2020-03-17,2020-03-24,95.15,86.42,-9.17,-462.43,7
NKE,long,52,2020-03-19,2020-03-24,61.06,59.84,-2.0,-63.46,5
BA,long,18,2020-03-31,2020-04-02,155.0,128.51,-17.09,-476.82,2
ABBV,short,219,2020-05-07,2020-05-19,67.79,71.5,-5.48,-813.34,12
AAPL,short,216,2020-06-15,2020-06-24,80.67,88.35,-9.53,-1660.02,9
NFLX,short,139,2020-04-17,2020-07-02,43.1,48.56,-12.68,-759.5,76
LMT,long,41,2020-06-16,2020-07-10,328.67,291.07,-11.44,-1541.87,24
AMZN,short,120,2020-07-06,2020-07-10,146.75,159.59,-8.75,-1540.74,4
AAPL,short,144,2020-06-24,2020-07-14,88.35,91.83,-3.93,-500.53,20
META,short,49,2020-08-10,2020-08-27,265.71,297.55,-11.98,-1560.18,17
AAPL,short,140,2020-08-25,2020-09-03,120.95,123.1,-1.77,-300.45,9
COP,long,199,2020-07-31,2020-09-09,30.11,28.32,-5.94,-355.79,40
AMAT,long,278,2020-09-08,2020-09-09,54.36,53.92,-0.81,-121.79,1
CVX,long,123,2020-08-03,2020-09-16,64.73,59.7,-7.77,-619.06,44
XOM,long,552,2020-09-09,2020-09-24,30.2,27.09,-10.3,-1716.9,15
GE,short,411,2020-10-12,2020-10-20,33.59,35.68,-6.21,-857.95,8
WFC,long,238,2020-07-15,2020-10-28,21.84,18.64,-14.66,-762.05,105
COP,long,539,2020-10-21,2020-10-28,26.47,24.15,-8.73,-1246.01,7
GOOGL,short,166,2020-10-22,2020-11-05,78.55,87.74,-11.7,-1525.71,14
GE,short,383,2020-10-29,2020-11-05,37.19,38.59,-3.79,-539.2,7
QCOM,short,115,2020-10-15,2020-11-06,112.67,129.23,-14.7,-1904.35,22
MU,short,341,2020-11-10,2020-11-17,53.76,59.48,-10.65,-1951.9,7
AMAT,short,274,2020-11-10,2020-11-20,67.58,73.75,-9.13,-1690.82,10
ABBV,short,236,2020-11-05,2020-11-24,76.66,82.7,-7.89,-1426.65,19
COP,short,394,2020-11-19,2020-11-24,31.85,36.26,-13.87,-1740.6,5
GE,short,222,2020-11-25,2020-12-10,51.12,53.79,-5.22,-592.74,15
GS,short,80,2020-12-18,2021-01-05,215.81,232.08,-7.53,-1300.92,18
MU,short,229,2021-01-06,2021-01-11,74.46,74.69,-0.3,-51.36,5
AMAT,short,189,2021-01-11,2021-01-15,90.39,100.46,-11.14,-1902.95,4
JNJ,short,121,2021-01-15,2021-01-27,137.55,145.12,-5.5,-915.74,12
GOOGL,short,184,2021-02-03,2021-02-04,102.37,102.13,0.24,45.51,1
C,short,158,2021-01-07,2021-03-02,55.55,57.79,-4.04,-354.6,54
CVX,short,210,2021-03-04,2021-03-11,84.1,89.84,-6.82,-1204.83,7
C,short,298,2021-03-04,2021-03-19,58.62,61.14,-4.3,-751.72,15
INTC,long,324,2021-04-26,2021-05-13,53.75,49.45,-8.0,-1393.01,17
AMZN,short,51,2021-04-30,2021-07-09,176.26,186.13,-5.6,-503.37,70
BA,long,38,2021-05-05,2021-07-20,232.45,208.1,-10.48,-925.3,76
MU,long,274,2021-08-12,2021-08-13,70.39,68.31,-2.95,-569.11,1
NKE,long,133,2021-09-07,2021-09-27,150.95,137.87,-8.67,-1740.29,20
COP,short,350,2021-09-29,2021-10-11,57.02,63.34,-11.09,-2213.1,12
NFLX,short,325,2021-10-01,2021-10-25,60.42,66.37,-9.85,-1933.75,24
UNH,short,49,2021-10-15,2021-10-27,387.96,417.91,-7.72,-1467.92,12
AMD,short,154,2021-10-27,2021-11-05,121.63,139.19,-14.44,-2704.24,9
QCOM,short,132,2021-11-05,2021-11-10,141.66,148.89,-5.11,-954.74,5
HD,short,57,2021-11-01,2021-11-19,331.03,361.76,-9.28,-1751.78,18
NVDA,short,446,2021-11-19,2021-11-23,32.14,31.43,2.2,314.74,4
AAPL,short,118,2021-11-23,2021-12-09,157.52,171.0,-8.56,-1590.83,16
PFE,short,331,2021-11-29,2021-12-16,43.45,45.98,-5.82,-837.05,17
MU,short,163,2021-12-02,2021-12-27,80.69,91.52,-13.42,-1765.19,25
NFLX,long,313,2022-01-05,2022-01-07,59.2,54.95,-7.19,-1331.5,2
XOM,short,316,2022-01-06,2022-01-18,58.21,62.33,-7.09,-1303.81,12
NFLX,long,327,2022-01-07,2022-01-19,54.95,51.5,-6.27,-1126.84,12
GS,long,50,2022-01-18,2022-01-19,322.2,320.68,-0.47,-76.07,1
SBUX,long,101,2021-11-01,2022-01-20,95.79,87.47,-8.69,-840.9,80
MSFT,long,44,2021-12-20,2022-01-24,308.3,281.47,-8.7,-1180.42,35
QQQ,long,48,2022-01-07,2022-01-24,373.59,336.5,-9.93,-1780.0,17
META,long,29,2021-10-13,2022-01-25,324.12,297.34,-8.26,-776.76,104
NFLX,long,224,2022-01-24,2022-01-25,38.39,37.91,-1.24,-106.85,1
CVX,short,177,2022-01-06,2022-01-26,103.23,110.98,-7.51,-1371.6,20
NVDA,long,368,2022-01-25,2022-01-31,22.47,23.11,2.82,233.31,6
META,long,36,2022-02-07,2022-02-09,235.63,222.25,-5.68,-481.77,2
PFE,long,436,2022-02-09,2022-02-23,40.99,37.78,-7.84,-1401.68,14
MS,long,211,2022-02-22,2022-03-02,82.32,76.56,-6.99,-1214.46,8
JPM,long,66,2022-01-25,2022-03-07,128.29,118.03,-7.99,-676.64,41
XOM,short,251,2022-03-03,2022-03-08,69.12,77.07,-11.51,-1996.45,5
MCD,long,78,2022-02-25,2022-03-09,221.73,205.55,-7.3,-1261.86,12
COP,short,150,2022-03-03,2022-03-28,83.09,89.8,-8.09,-1007.79,25
MRK,short,258,2022-03-21,2022-04-07,70.04,75.39,-7.63,-1379.12,17
LLY,short,64,2022-03-21,2022-04-08,277.43,296.95,-7.03,-1248.87,18
BAC,long,215,2022-03-07,2022-04-18,35.85,33.6,-6.29,-484.58,42
AMAT,long,105,2022-04-07,2022-04-27,114.77,104.45,-8.99,-1083.83,20
BA,long,77,2022-04-28,2022-05-10,156.61,136.76,-12.67,-1528.45,12
GE,long,314,2022-04-29,2022-05-11,47.26,44.98,-4.81,-714.26,12
AAPL,long,54,2022-01-25,2022-05-12,155.42,139.96,-9.95,-835.07,107
AAPL,long,75,2022-05-13,2022-06-17,141.74,127.51,-10.04,-1067.57,35
HON,long,110,2022-06-14,2022-07-06,168.12,156.88,-6.68,-1235.58,22
LLY,short,30,2022-04-08,2022-07-07,296.95,316.57,-6.61,-588.67,90
BA,short,100,2022-07-28,2022-08-02,154.02,167.0,-8.43,-1298.0,5
SBUX,short,262,2022-07-19,2022-08-04,73.66,79.2,-7.52,-1451.33,16
GS,short,66,2022-07-26,2022-08-12,291.43,320.11,-9.84,-1893.11,17
MU,long,140,2022-08-10,2022-09-08,58.85,53.44,-9.18,-756.58,29
NVDA,long,546,2022-09-02,2022-09-16,14.06,12.71,-9.6,-737.35,14
AMD,long,116,2022-09-02,2022-09-16,83.32,75.62,-9.24,-893.2,14
HON,long,114,2022-09-09,2022-09-19,172.58,160.61,-6.93,-1363.88,10
AMAT,long,126,2022-09-02,2022-09-26,90.23,81.64,-9.51,-1081.33,24
IWM,long,86,2022-09-02,2022-09-26,174.37,157.96,-9.41,-1410.88,24
