date,pv
2019-12-18,102506.02
2019-12-19,102047.21
2019-12-20,101795.95
2019-12-23,101432.03
2019-12-24,101432.59
2019-12-26,101136.84
2019-12-27,101686.65
2019-12-30,102214.48
2019-12-31,102043.47
2020-01-02,101074.65
2020-01-03,102303.43
2020-01-06,102249.03
2020-01-07,100745.54
2020-01-08,100911.8
2020-01-09,100628.34
2020-01-10,101209.26
2020-01-13,100526.27
2020-01-14,100749.47
2020-01-15,100946.58
2020-01-16,98145.38
2020-01-17,96706.78
2020-01-21,97429.9
2020-01-22,97389.61
2020-01-23,97832.56
2020-01-24,99317.07
2020-01-27,100273.71
2020-01-28,99005.22
2020-01-29,100616.62
2020-01-30,100837.71
2020-01-31,99469.72
2020-02-03,98708.77
2020-02-04,99301.55
2020-02-05,100128.76
2020-02-06,100402.42
2020-02-07,99617.88
2020-02-10,98868.37
2020-02-11,97563.88
2020-02-12,97549.05
2020-02-13,97889.6
2020-02-14,98293.47
2020-02-18,99311.59
2020-02-19,97700.66
2020-02-20,98595.91
2020-02-21,99616.04
2020-02-24,99231.79
2020-02-25,97670.6
2020-02-26,98172.99
2020-02-27,94198.96
2020-02-28,92221.86
2020-03-02,98075.29
2020-03-03,94545.46
2020-03-04,98488.98
2020-03-05,95592.21
2020-03-06,93536.01
2020-03-09,86241.58
2020-03-10,90859.16
2020-03-11,86367.1
2020-03-12,79666.11
2020-03-13,83904.78
2020-03-16,80937.08
2020-03-17,82404.63
2020-03-18,81768.2
2020-03-19,82899.38
2020-03-20,81857.71
2020-03-23,81299.51
2020-03-24,83302.65
2020-03-25,83572.57
2020-03-26,84355.76
2020-03-27,83706.28
2020-03-30,84160.34
2020-03-31,84102.15
2020-04-01,83346.97
2020-04-02,83397.83
2020-04-03,83250.72
2020-04-06,83797.86
2020-04-07,83862.34
2020-04-08,83961.66
2020-04-09,83959.92
2020-04-13,83975.52
2020-04-14,84198.31
2020-04-15,84122.23
2020-04-16,84122.23
2020-04-17,84346.55
2020-04-20,83957.4
2020-04-21,84033.89
2020-04-22,84293.26
2020-04-23,84182.91
2020-04-24,84218.65
2020-04-27,84294.1
2020-04-28,84660.89
2020-04-29,84578.96
2020-04-30,84309.42
2020-05-01,84677.41
2020-05-04,84440.58
2020-05-05,84218.26
2020-05-06,84122.28
2020-05-07,84238.34
2020-05-08,84140.58
2020-05-11,83196.04
2020-05-12,83171.98
2020-05-13,83633.27
2020-05-14,83421.27
2020-05-15,82659.54
2020-05-18,84007.07
2020-05-19,83964.58
2020-05-20,84419.53
2020-05-21,84695.9
2020-05-22,84549.47
2020-05-26,85212.98
2020-05-27,85489.33
2020-05-28,86022.99
2020-05-29,85735.04
2020-06-01,85385.85
2020-06-02,85359.23
2020-06-03,85836.89
2020-06-04,86143.22
2020-06-05,85512.91
2020-06-08,85692.32
2020-06-09,85436.21
2020-06-10,86857.0
2020-06-11,89339.16
2020-06-12,88667.44
2020-06-15,88170.6
2020-06-16,87700.51
2020-06-17,87312.99
2020-06-18,87108.13
2020-06-19,87170.22
2020-06-22,86272.49
2020-06-23,85531.29
2020-06-24,86380.7
2020-06-25,86090.69
2020-06-26,88206.14
2020-06-29,88363.23
2020-06-30,87820.74
2020-07-01,87405.84
2020-07-02,87215.32
2020-07-06,85706.26
2020-07-07,86001.47
2020-07-08,84997.23
2020-07-09,83838.97
2020-07-10,84010.91
2020-07-13,84273.55
2020-07-14,84170.79
2020-07-15,84406.62
2020-07-16,83843.97
2020-07-17,84058.77
2020-07-20,84072.49
2020-07-21,84215.87
2020-07-22,84830.42
2020-07-23,85360.86
2020-07-24,86151.48
2020-07-27,84935.33
2020-07-28,85702.83
2020-07-29,85329.08
2020-07-30,86088.73
2020-07-31,86771.67
2020-08-03,86821.16
2020-08-04,87293.01
2020-08-05,86575.16
2020-08-06,86705.34
2020-08-07,86761.92
2020-08-10,87214.9
2020-08-11,87822.87
2020-08-12,87494.65
2020-08-13,87499.32
2020-08-14,87760.55
2020-08-17,87961.71
2020-08-18,87086.07
2020-08-19,86984.44
2020-08-20,86346.27
2020-08-21,86234.86
2020-08-24,85630.82
2020-08-25,85309.94
2020-08-26,83474.21
2020-08-27,83628.08
2020-08-28,83573.96
2020-08-31,83252.93
2020-09-01,82208.84
2020-09-02,81964.13
2020-09-03,83359.86
2020-09-04,83391.01
2020-09-08,83041.58
2020-09-09,82602.77
2020-09-10,82833.45
2020-09-11,82124.82
2020-09-14,81894.52
2020-09-15,82335.15
2020-09-16,82690.44
2020-09-17,82402.76
2020-09-18,82179.96
2020-09-21,83190.78
2020-09-22,83403.55
2020-09-23,81185.82
2020-09-24,81833.73
2020-09-25,83363.39
2020-09-28,84370.67
2020-09-29,83791.15
2020-09-30,84501.61
2020-10-01,85035.96
2020-10-02,84297.44
2020-10-05,85533.8
2020-10-06,84429.13
2020-10-07,85479.17
2020-10-08,86090.46
2020-10-09,86822.15
2020-10-12,88615.79
2020-10-13,88653.14
2020-10-14,88382.94
2020-10-15,88133.56
2020-10-16,87431.17
2020-10-19,87208.94
2020-10-20,87590.81
2020-10-21,86935.51
2020-10-22,87786.31
2020-10-23,89892.29
2020-10-26,90108.9
2020-10-27,89857.14
2020-10-28,90978.28
2020-10-29,90840.17
2020-10-30,90990.74
2020-11-02,91284.51
2020-11-03,92001.87
2020-11-04,89871.88
2020-11-05,89449.93
2020-11-06,89066.16
2020-11-09,93150.33
2020-11-10,93286.87
2020-11-11,92918.33
2020-11-12,93161.25
2020-11-13,91756.15
2020-11-16,89990.35
2020-11-17,89873.39
2020-11-18,89589.68
2020-11-19,88631.73
2020-11-20,88512.64
2020-11-23,87492.29
2020-11-24,86850.96
2020-11-25,86885.35
2020-11-27,86954.43
2020-11-30,87402.14
2020-12-01,87122.49
2020-12-02,86526.17
2020-12-03,86731.26
2020-12-04,86157.94
2020-12-07,85674.31
2020-12-08,84874.55
2020-12-09,84924.65
2020-12-10,85310.15
2020-12-11,85562.26
2020-12-14,86480.85
2020-12-15,86473.84
2020-12-16,86875.53
2020-12-17,86713.42
2020-12-18,86998.93
2020-12-21,85755.01
2020-12-22,86299.56
2020-12-23,85804.79
2020-12-24,86087.49
2020-12-28,85466.94
2020-12-29,86469.35
2020-12-30,85969.09
2020-12-31,85827.55
2021-01-04,86410.11
2021-01-05,86368.07
2021-01-06,85961.6
2021-01-07,85921.58
2021-01-08,86522.32
2021-01-11,85598.65
2021-01-12,85251.79
2021-01-13,86235.49
2021-01-14,83650.89
2021-01-15,85035.95
2021-01-19,85027.5
2021-01-20,87344.89
2021-01-21,88007.98
2021-01-22,88063.48
2021-01-25,87853.22
2021-01-26,86645.38
2021-01-27,86163.49
2021-01-28,87166.5
2021-01-29,87104.69
2021-02-01,87105.02
2021-02-02,87949.77
2021-02-03,88317.86
2021-02-04,88441.3
2021-02-05,88493.71
2021-02-08,88428.02
2021-02-09,88101.26
2021-02-10,88229.3
2021-02-11,88505.79
2021-02-12,88249.77
2021-02-16,88042.95
2021-02-17,87826.5
2021-02-18,88728.09
2021-02-19,88640.6
2021-02-22,88648.69
2021-02-23,88278.6
2021-02-24,87981.89
2021-02-25,87653.33
2021-02-26,88246.67
2021-03-01,89289.83
2021-03-02,88745.39
2021-03-03,87827.44
2021-03-04,87009.07
2021-03-05,86950.24
2021-03-08,84767.37
2021-03-09,87190.96
2021-03-10,86781.77
2021-03-11,88818.41
2021-03-12,88082.64
2021-03-15,88422.47
2021-03-16,89134.3
2021-03-17,88677.24
2021-03-18,88582.07
2021-03-19,88952.22
2021-03-22,90228.67
2021-03-23,90995.79
2021-03-24,90411.87
2021-03-25,89630.17
2021-03-26,88816.39
2021-03-29,89067.46
2021-03-30,88783.06
2021-03-31,89205.97
2021-04-01,88883.13
2021-04-05,88218.86
2021-04-06,88721.84
2021-04-07,88355.66
2021-04-08,88429.8
2021-04-09,87914.18
2021-04-12,88033.83
2021-04-13,87999.14
2021-04-14,88188.39
2021-04-15,88459.07
2021-04-16,87919.35
